state_fips,district_number,district_name
53,10,Congressional District 10, Washington
54,03,Congressional District 3, West Virginia
55,02,Congressional District 2, Wisconsin
55,05,Congressional District 5, Wisconsin
55,07,Congressional District 7, Wisconsin
56,00,Congressional District (at Large), Wyoming
48,02,Congressional District 2, Texas
48,04,Congressional District 4, Texas
48,07,Congressional District 7, Texas
48,09,Congressional District 9, Texas
48,11,Congressional District 11, Texas
48,14,Congressional District 14, Texas
48,16,Congressional District 16, Texas
48,18,Congressional District 18, Texas
48,21,Congressional District 21, Texas
48,23,Congressional District 23, Texas
48,25,Congressional District 25, Texas
48,28,Congressional District 28, Texas
48,30,Congressional District 30, Texas
48,32,Congressional District 32, Texas
48,35,Congressional District 35, Texas
53,03,Congressional District 3, Washington
